id,simulation_id,generation,distance,parent_1,parent_2,chemin,n_generations,mutation_rate,elitisme_rate,timestamp
11,1,0,25155.861821417384,"[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 35, 6, 9, 10, 50, 20, 30, 32, 48, 39, 14, 1, 12, 28, 23, 21, 26, 42, 22, 19, 3, 31, 40, 13, 27, 5, 4, 29, 49, 41, 11, 44, 47, 33, 46, 45, 7, 2, 36, 38, 37, 24, 43, 17, 16, 34, 25, 8, 15, 18, 0]","[0, 40, 13, 35, 50, 16, 30, 2, 28, 20, 34, 26, 39, 24, 5, 33, 14, 32, 22, 4, 36, 3, 12, 45, 46, 41, 21, 44, 15, 25, 8, 37, 6, 42, 18, 29, 47, 11, 43, 1, 19, 27, 10, 23, 7, 31, 48, 38, 17, 9, 49, 0]",50,0.2,0.2,2025-09-29 11:40:52.874626
12,1,0,24155.979596634923,"[0, 35, 21, 31, 6, 23, 25, 16, 5, 44, 8, 15, 22, 9, 49, 36, 47, 11, 20, 33, 26, 37, 40, 17, 50, 12, 7, 27, 4, 14, 29, 48, 28, 45, 18, 1, 10, 46, 19, 32, 41, 2, 13, 34, 3, 42, 43, 38, 24, 39, 30, 0]","[0, 21, 47, 4, 32, 16, 3, 43, 12, 25, 46, 20, 28, 31, 33, 34, 1, 6, 23, 36, 9, 13, 15, 42, 29, 45, 10, 35, 19, 22, 24, 26, 50, 2, 14, 38, 48, 30, 49, 18, 5, 37, 41, 39, 11, 40, 7, 17, 27, 8, 44, 0]","[0, 44, 8, 6, 23, 10, 16, 32, 12, 42, 17, 39, 40, 33, 26, 46, 20, 28, 13, 38, 27, 29, 2, 22, 14, 25, 24, 15, 31, 35, 48, 5, 45, 4, 30, 19, 36, 21, 47, 11, 41, 18, 49, 1, 7, 9, 50, 43, 3, 34, 37, 0]",50,0.2,0.2,2025-09-29 11:40:52.876005
13,1,0,27272.581218249605,"[0, 21, 47, 4, 32, 16, 3, 43, 12, 25, 46, 20, 28, 31, 33, 34, 1, 6, 23, 36, 9, 13, 15, 42, 29, 45, 10, 35, 19, 22, 24, 26, 50, 2, 14, 38, 48, 30, 49, 18, 5, 37, 41, 39, 11, 40, 7, 17, 27, 8, 44, 0]","[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 12, 3, 13, 7, 33, 9, 48, 1, 31, 35, 34, 11, 30, 8, 22, 38, 24, 4, 20, 47, 44, 15, 27, 2, 29, 25, 17, 32, 21, 6, 16, 49, 42, 45, 37, 19, 26, 40, 28, 14, 36, 23, 41, 10, 39, 5, 46, 50, 18, 43, 0]",50,0.2,0.2,2025-09-29 11:40:52.877445
14,1,0,24032.297903290008,"[0, 23, 21, 47, 4, 24, 29, 14, 19, 31, 45, 41, 2, 44, 5, 48, 12, 38, 32, 8, 33, 10, 7, 26, 42, 9, 16, 49, 35, 6, 15, 20, 18, 27, 28, 50, 46, 22, 37, 30, 25, 40, 13, 11, 3, 36, 39, 17, 43, 1, 34, 0]","[0, 45, 7, 26, 17, 13, 22, 34, 9, 24, 30, 21, 44, 42, 16, 41, 47, 11, 23, 5, 10, 19, 32, 3, 35, 4, 27, 28, 37, 31, 46, 20, 39, 2, 33, 43, 40, 15, 49, 25, 36, 6, 50, 12, 38, 48, 14, 18, 29, 8, 1, 0]","[0, 7, 26, 27, 28, 12, 38, 41, 45, 32, 37, 3, 1, 48, 19, 30, 29, 5, 6, 9, 33, 2, 50, 31, 40, 25, 47, 43, 13, 42, 17, 36, 23, 44, 10, 46, 49, 4, 14, 16, 35, 18, 11, 20, 22, 21, 15, 24, 34, 39, 8, 0]",50,0.2,0.2,2025-09-29 11:40:52.878843
15,1,0,26293.667184297716,"[0, 23, 21, 47, 4, 24, 29, 14, 19, 31, 45, 41, 2, 44, 5, 48, 12, 38, 32, 8, 33, 10, 7, 26, 42, 9, 16, 49, 35, 6, 15, 20, 18, 27, 28, 50, 46, 22, 37, 30, 25, 40, 13, 11, 3, 36, 39, 17, 43, 1, 34, 0]","[0, 31, 3, 34, 45, 27, 2, 25, 19, 26, 29, 24, 9, 6, 46, 40, 15, 41, 32, 10, 5, 11, 4, 48, 38, 47, 33, 1, 37, 13, 49, 12, 17, 16, 30, 21, 14, 39, 50, 20, 35, 22, 8, 28, 44, 18, 36, 43, 7, 23, 42, 0]","[0, 29, 24, 4, 47, 17, 37, 34, 18, 8, 30, 44, 40, 49, 22, 3, 11, 48, 16, 20, 2, 39, 9, 23, 43, 42, 1, 27, 32, 26, 15, 21, 13, 19, 14, 41, 38, 35, 36, 31, 25, 7, 33, 45, 46, 6, 5, 10, 12, 50, 28, 0]",50,0.2,0.2,2025-09-29 11:40:52.880163
16,1,0,25012.565006071756,"[0, 45, 7, 26, 17, 13, 22, 34, 9, 24, 30, 21, 44, 42, 16, 41, 47, 11, 23, 5, 10, 19, 32, 3, 35, 4, 27, 28, 37, 31, 46, 20, 39, 2, 33, 43, 40, 15, 49, 25, 36, 6, 50, 12, 38, 48, 14, 18, 29, 8, 1, 0]","[0, 45, 50, 42, 20, 2, 4, 17, 12, 33, 18, 3, 27, 40, 47, 9, 31, 39, 8, 23, 41, 5, 43, 7, 19, 10, 6, 48, 16, 21, 38, 25, 37, 46, 1, 26, 36, 15, 49, 32, 35, 14, 30, 24, 13, 34, 44, 28, 29, 22, 11, 0]","[0, 15, 49, 19, 10, 45, 30, 24, 13, 29, 35, 3, 4, 32, 6, 17, 14, 38, 28, 44, 36, 48, 2, 20, 1, 47, 21, 50, 43, 8, 7, 23, 16, 40, 26, 12, 39, 27, 22, 5, 9, 37, 46, 34, 18, 25, 31, 42, 11, 33, 41, 0]",50,0.2,0.2,2025-09-29 11:40:52.881563
17,1,0,24628.654061217585,"[0, 26, 8, 11, 19, 9, 35, 3, 10, 47, 27, 14, 36, 2, 32, 31, 24, 18, 13, 34, 7, 15, 21, 23, 41, 49, 39, 16, 50, 20, 48, 42, 6, 46, 38, 44, 22, 12, 5, 4, 1, 37, 30, 28, 25, 40, 43, 17, 29, 45, 33, 0]","[0, 3, 5, 8, 37, 38, 40, 19, 28, 20, 2, 49, 29, 48, 21, 23, 34, 7, 35, 30, 33, 27, 18, 1, 10, 4, 41, 12, 39, 50, 24, 11, 46, 47, 13, 44, 32, 43, 15, 6, 17, 45, 36, 9, 42, 26, 22, 31, 14, 16, 25, 0]","[0, 34, 7, 21, 23, 50, 3, 27, 24, 49, 33, 48, 17, 30, 46, 14, 9, 32, 19, 1, 18, 43, 36, 28, 15, 11, 38, 26, 8, 35, 45, 40, 12, 29, 25, 20, 41, 4, 16, 47, 6, 37, 22, 2, 31, 10, 39, 13, 42, 5, 44, 0]",50,0.2,0.2,2025-09-29 11:40:52.882839
18,1,0,26172.209279789735,"[0, 45, 50, 42, 20, 2, 4, 17, 12, 33, 18, 3, 27, 40, 47, 9, 31, 39, 8, 23, 41, 5, 43, 7, 19, 10, 6, 48, 16, 21, 38, 25, 37, 46, 1, 26, 36, 15, 49, 32, 35, 14, 30, 24, 13, 34, 44, 28, 29, 22, 11, 0]","[0, 26, 8, 11, 19, 9, 35, 3, 10, 47, 27, 14, 36, 2, 32, 31, 24, 18, 13, 34, 7, 15, 21, 23, 41, 49, 39, 16, 50, 20, 48, 42, 6, 46, 38, 44, 22, 12, 5, 4, 1, 37, 30, 28, 25, 40, 43, 17, 29, 45, 33, 0]","[0, 23, 41, 13, 34, 25, 6, 32, 28, 8, 50, 49, 2, 24, 48, 39, 38, 14, 26, 40, 20, 42, 33, 21, 3, 19, 12, 43, 44, 7, 10, 47, 31, 27, 5, 18, 4, 9, 16, 17, 37, 30, 1, 35, 22, 11, 46, 29, 45, 36, 15, 0]",50,0.2,0.2,2025-09-29 11:40:52.884103
19,1,0,26915.984800024205,"[0, 45, 7, 26, 17, 13, 22, 34, 9, 24, 30, 21, 44, 42, 16, 41, 47, 11, 23, 5, 10, 19, 32, 3, 35, 4, 27, 28, 37, 31, 46, 20, 39, 2, 33, 43, 40, 15, 49, 25, 36, 6, 50, 12, 38, 48, 14, 18, 29, 8, 1, 0]","[0, 17, 6, 42, 8, 38, 13, 44, 25, 29, 43, 2, 22, 50, 34, 28, 26, 4, 11, 39, 24, 41, 12, 47, 48, 49, 32, 9, 20, 14, 21, 10, 7, 36, 31, 19, 5, 37, 40, 3, 33, 16, 1, 35, 23, 15, 46, 45, 18, 30, 27, 0]","[0, 27, 7, 35, 33, 18, 20, 43, 11, 45, 28, 48, 17, 29, 19, 4, 36, 23, 21, 12, 22, 47, 2, 37, 16, 32, 26, 13, 49, 40, 41, 39, 38, 14, 34, 31, 8, 25, 30, 46, 6, 44, 3, 24, 42, 1, 5, 50, 9, 10, 15, 0]",50,0.2,0.2,2025-09-29 11:40:52.885468
20,1,0,26835.63169101707,"[0, 31, 3, 34, 45, 27, 2, 25, 19, 26, 29, 24, 9, 6, 46, 40, 15, 41, 32, 10, 5, 11, 4, 48, 38, 47, 33, 1, 37, 13, 49, 12, 17, 16, 30, 21, 14, 39, 50, 20, 35, 22, 8, 28, 44, 18, 36, 43, 7, 23, 42, 0]","[0, 23, 21, 47, 4, 24, 29, 14, 19, 31, 45, 41, 2, 44, 5, 48, 12, 38, 32, 8, 33, 10, 7, 26, 42, 9, 16, 49, 35, 6, 15, 20, 18, 27, 28, 50, 46, 22, 37, 30, 25, 40, 13, 11, 3, 36, 39, 17, 43, 1, 34, 0]","[0, 29, 24, 36, 13, 7, 30, 33, 46, 2, 31, 45, 47, 18, 6, 39, 19, 4, 5, 10, 40, 17, 25, 41, 23, 49, 20, 34, 8, 42, 21, 37, 16, 9, 38, 1, 15, 43, 28, 35, 50, 3, 44, 12, 14, 32, 22, 48, 11, 27, 26, 0]",50,0.2,0.2,2025-09-29 11:40:52.888026
21,1,0,28299.659562498153,"[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 19, 44, 20, 49, 33, 22, 50, 15, 13, 12, 25, 17, 2, 3, 40, 24, 38, 39, 21, 4, 23, 30, 1, 26, 27, 29, 36, 45, 42, 28, 5, 10, 35, 46, 16, 32, 37, 31, 9, 48, 6, 11, 18, 43, 47, 7, 14, 41, 8, 34, 0]","[0, 36, 44, 34, 21, 38, 31, 13, 16, 7, 39, 29, 46, 40, 48, 26, 23, 17, 20, 1, 9, 32, 42, 3, 50, 35, 6, 37, 4, 45, 12, 15, 43, 14, 47, 5, 25, 11, 22, 18, 41, 28, 8, 27, 10, 30, 33, 24, 49, 19, 2, 0]",50,0.2,0.2,2025-09-29 11:40:52.889537
22,1,0,24583.77370917137,"[0, 26, 8, 11, 19, 9, 35, 3, 10, 47, 27, 14, 36, 2, 32, 31, 24, 18, 13, 34, 7, 15, 21, 23, 41, 49, 39, 16, 50, 20, 48, 42, 6, 46, 38, 44, 22, 12, 5, 4, 1, 37, 30, 28, 25, 40, 43, 17, 29, 45, 33, 0]","[0, 23, 21, 47, 4, 24, 29, 14, 19, 31, 45, 41, 2, 44, 5, 48, 12, 38, 32, 8, 33, 10, 7, 26, 42, 9, 16, 49, 35, 6, 15, 20, 18, 27, 28, 50, 46, 22, 37, 30, 25, 40, 13, 11, 3, 36, 39, 17, 43, 1, 34, 0]","[0, 37, 30, 25, 40, 43, 17, 23, 21, 12, 4, 32, 41, 8, 34, 10, 3, 33, 9, 18, 28, 13, 1, 26, 24, 14, 50, 29, 42, 19, 36, 20, 16, 44, 6, 49, 22, 31, 2, 35, 15, 47, 39, 11, 46, 7, 38, 5, 27, 48, 45, 0]",50,0.2,0.2,2025-09-29 11:40:52.890900
23,1,0,26377.251679940757,"[0, 8, 38, 32, 35, 1, 34, 9, 28, 11, 15, 39, 48, 40, 44, 23, 46, 4, 41, 13, 50, 6, 45, 43, 12, 36, 20, 16, 27, 29, 24, 14, 3, 49, 18, 7, 19, 31, 37, 10, 22, 21, 30, 2, 33, 17, 47, 5, 42, 26, 25, 0]","[0, 3, 5, 8, 37, 38, 40, 19, 28, 20, 2, 49, 29, 48, 21, 23, 34, 7, 35, 30, 33, 27, 18, 1, 10, 4, 41, 12, 39, 50, 24, 11, 46, 47, 13, 44, 32, 43, 15, 6, 17, 45, 36, 9, 42, 26, 22, 31, 14, 16, 25, 0]","[0, 42, 26, 4, 41, 25, 20, 28, 37, 17, 9, 23, 46, 32, 44, 27, 11, 48, 10, 50, 31, 33, 22, 7, 35, 19, 49, 6, 1, 14, 36, 12, 29, 15, 3, 30, 5, 21, 40, 34, 16, 18, 47, 38, 2, 39, 13, 43, 8, 45, 24, 0]",50,0.2,0.2,2025-09-29 11:40:52.892188
24,1,0,24931.441512024183,"[0, 17, 6, 42, 8, 38, 13, 44, 25, 29, 43, 2, 22, 50, 34, 28, 26, 4, 11, 39, 24, 41, 12, 47, 48, 49, 32, 9, 20, 14, 21, 10, 7, 36, 31, 19, 5, 37, 40, 3, 33, 16, 1, 35, 23, 15, 46, 45, 18, 30, 27, 0]","[0, 29, 15, 10, 5, 46, 14, 24, 9, 48, 36, 45, 21, 33, 31, 18, 34, 41, 12, 26, 42, 19, 11, 17, 43, 16, 30, 20, 3, 8, 6, 2, 49, 37, 25, 27, 7, 1, 39, 13, 35, 23, 28, 22, 4, 38, 32, 50, 40, 47, 44, 0]","[0, 41, 12, 35, 23, 7, 40, 16, 21, 44, 2, 32, 39, 43, 49, 36, 27, 45, 11, 18, 10, 26, 42, 8, 15, 37, 30, 3, 31, 34, 19, 47, 24, 20, 13, 5, 17, 28, 46, 14, 22, 6, 9, 50, 1, 33, 48, 25, 38, 4, 29, 0]",50,0.2,0.2,2025-09-29 11:40:52.893459
25,1,0,23236.702328682473,"[0, 8, 38, 32, 35, 1, 34, 9, 28, 11, 15, 39, 48, 40, 44, 23, 46, 4, 41, 13, 50, 6, 45, 43, 12, 36, 20, 16, 27, 29, 24, 14, 3, 49, 18, 7, 19, 31, 37, 10, 22, 21, 30, 2, 33, 17, 47, 5, 42, 26, 25, 0]","[0, 23, 21, 47, 4, 24, 29, 14, 19, 31, 45, 41, 2, 44, 5, 48, 12, 38, 32, 8, 33, 10, 7, 26, 42, 9, 16, 49, 35, 6, 15, 20, 18, 27, 28, 50, 46, 22, 37, 30, 25, 40, 13, 11, 3, 36, 39, 17, 43, 1, 34, 0]","[0, 1, 34, 42, 26, 19, 31, 29, 24, 38, 32, 11, 25, 8, 17, 7, 28, 16, 6, 18, 30, 46, 35, 36, 50, 23, 27, 14, 15, 49, 20, 39, 3, 44, 10, 43, 40, 2, 5, 45, 47, 21, 22, 41, 48, 13, 33, 12, 37, 4, 9, 0]",50,0.2,0.2,2025-09-29 11:40:52.894794
